Time (Seconds),CPU0_Current_Freq(MHz),CPU1_Current_Freq(MHz),CPU2_Current_Freq(MHz),CPU3_Current_Freq(MHz),CPU4_Current_Freq(MHz),CPU5_Current_Freq(MHz),CPU6_Current_Freq(MHz),CPU7_Current_Freq(MHz),soc_thermal,usb_port,Battery,cluster0,cluster1,gpu,modem,ddr,system_h,charger,pa_0,pa_1,dcxo0,rfboard,usb,shell_frame,shell_front,shell_back,hisi_ambient,thermal-devfreq-0,thermal-cpufreq-0,thermal-cpufreq-1,thermal-cpufreq-2,Brightness,Batt_Current(uA),BIMC(Hz),GPU,core_ctl_isolated,powerclock(Hz),perfclock(Hz),perfpclock(Hz),APC0_CLK,APC1_CLK,Total CPU Util,CPU0_Util,CPU1_Util,CPU2_Util,CPU3_Util,CPU4_Util,CPU5_Util,CPU6_Util,CPU7_Util,CPU_Online,,
14.168,1248,1248,1248,1248,1306,1306,1460,1460,38765,29594,32000,39,37,37,36,-40,36388,34350,33736,33736,36975,30250,28900,33809,32937,32902,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.38,26.44,17.89,11.58,19.15,67.35,53.00,0.00,0.00,0-7,
15.180,1248,1248,1248,1248,1306,1306,1460,1460,38866,30081,32000,39,37,36,36,-40,36388,34400,33736,33736,36920,30200,28650,33809,32937,32902,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.06,24.42,18.09,18.37,11.70,60.82,50.51,0.00,0.00,0-7,
16.192,1248,1248,1248,1248,1306,1306,1767,1767,38923,29972,32000,39,38,37,36,-40,36388,34400,33736,33736,36975,30200,29142,33809,32937,32902,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.35,23.26,17.89,16.49,16.13,67.01,48.48,2.94,3.96,0-7,
17.205,1248,1248,1248,1248,1306,1306,1460,1460,38953,29891,32000,39,38,36,36,-40,36444,34350,33736,33736,36975,30200,28950,33809,32937,32902,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.99,24.71,21.21,24.49,17.71,55.56,42.16,20.20,2.94,0-7,
18.218,1248,1248,1248,1248,1306,1306,1460,1460,38970,30054,32000,39,37,36,36,-40,36388,34400,33736,33736,36975,30250,28850,33809,32937,32902,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.84,26.88,17.02,23.40,13.68,65.00,48.54,2.94,0.00,0-7,
19.229,1248,1248,1248,1248,1306,1306,1460,1460,38886,29810,32000,38,37,36,36,-40,36500,34450,33736,33736,36975,30200,28900,33819,33048,32875,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.87,28.42,21.65,21.21,23.30,60.00,37.62,0.00,0.00,0-7,
20.242,1248,1248,1248,1248,1306,1306,1460,1460,38613,30027,32000,38,37,36,36,-40,36444,34400,33736,33789,37030,30250,28850,33819,33048,32875,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.59,25.27,18.95,15.79,15.46,51.04,38.00,0.00,0.00,0-7,
21.252,1248,1248,1248,1248,1306,1306,1460,1460,38397,29837,32000,39,37,36,36,-40,36444,34400,33736,33736,37030,30250,28900,33819,33048,32875,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.22,18.60,25.00,18.75,17.71,58.16,35.11,0.00,0.00,0-7,
22.263,1248,1248,1248,1248,1306,1306,1460,1460,38530,29594,32000,39,37,36,36,-40,36444,34450,33736,33736,37030,30250,28900,33819,33048,32875,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.90,14.63,14.13,17.89,13.19,56.70,41.67,6.93,0.00,0-7,
23.274,1248,1248,1248,1248,1306,1306,1460,1460,38736,29918,32000,39,37,36,36,-40,36444,34450,33789,33736,37030,30250,28650,33819,33048,32875,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.25,21.18,25.56,18.75,17.02,55.00,36.73,6.00,0.00,0-7,
24.287,1248,1248,1248,1248,1306,1306,1460,1460,38610,29918,32000,38,37,36,36,-40,36500,34400,33789,33789,37030,30250,29000,33880,33073,32856,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.01,18.82,18.28,22.68,14.89,61.22,40.21,0.00,0.00,0-7,
